ORDER	LATENCY	ABS
637	1971	1821725
638	1983	1823708
639	2100	1825808
640	2115	1827923
641	1959	1829882
642	2061	1831943
643	1976	1833919
644	1904	1835823
645	1961	1837784
646	2021	1839805
647	3946	1843751
648	2045	1845796
649	2022	1847818
650	1957	1849775
651	1981	1851756
652	2734	1854490
653	1998	1856488
654	1884	1858372
655	1942	1860314
656	2115	1862429
657	1917	1864346
658	1999	1866345
659	2109	1868454
660	2009	1870463
661	2082	1872545
662	2041	1874586
663	2049	1876635
664	1980	1878615
665	1980	1880595
666	1995	1882590
667	1961	1884551
668	2421	1886972
669	3260	1890232
670	2059	1892291
671	2114	1894405
672	2066	1896471
673	2031	1898502
674	1998	1900500
675	2005	1902505
676	1871	1904376
677	1870	1906246
678	1927	1908173
679	1903	1910076
680	1871	1911947
681	1848	1913795
682	1870	1915665
683	1864	1917529
684	2959	1920488
685	2833	1923321
686	3549	1926870
687	3349	1930219
688	3830	1934049
689	3389	1937438
690	2190	1939628
691	4876	1944504
692	2144	1946648
693	2217	1948865
694	2060	1950925
695	2083	1953008
696	2088	1955096
697	2189	1957285
698	2265	1959550
699	2227	1961777
700	3257	1965034
701	3504	1968538
702	2579	1971117
703	2595	1973712
704	3275	1976987
705	3622	1980609
706	3805	1984414
707	2721	1987135
708	3913	1991048
709	4216	1995264
710	3063	1998327
711	3214	2001541
712	2268	2003809
713	3713	2007522
714	3570	2011092
715	3214	2014306
716	3208	2017514
717	3862	2021376
718	3588	2024964
719	3705	2028669
720	3788	2032457
721	3617	2036074
722	3116	2039190
723	2288	2041478
724	2181	2043659
725	2050	2045709
726	2085	2047794
727	2017	2049811
728	2160	2051971
729	1986	2053957
730	2002	2055959
731	3963	2059922
732	2145	2062067
733	1946	2064013
734	1853	2065866
735	1954	2067820
736	2140	2069960
737	2117	2072077
738	2130	2074207
739	3544	2077751
740	4655	2082406
741	4111	2086517
742	4212	2090729
743	4129	2094858
744	3116	2097974
745	2803	2100777
746	2342	2103119
747	2255	2105374
748	3429	2108803
749	2699	2111502
750	2899	2114401
751	2767	2117168
752	3709	2120877
753	2836	2123713
754	1897	2125610
755	2078	2127688
756	1995	2129683
757	2125	2131808
758	2138	2133946
759	2051	2135997
760	2080	2138077
761	1960	2140037
762	1995	2142032
763	2118	2144150
764	2116	2146266
765	2127	2148393
766	3390	2151783
767	3476	2155259
768	2259	2157518
769	2414	2159932
770	2074	2162006
771	2140	2164146
772	3142	2167288
773	3209	2170497
774	3326	2173823
775	3535	2177358
776	3514	2180872
777	4266	2185138
778	4401	2189539
779	3083	2192622
780	3433	2196055
781	3288	2199343
782	3169	2202512
783	3303	2205815
784	3272	2209087
785	2461	2211548
786	2077	2213625
787	2957	2216582
788	3451	2220033
789	3272	2223305
790	3186	2226491
791	3132	2229623
792	2654	2232277
793	3116	2235393
794	3306	2238699
795	3244	2241943
796	4130	2246073
797	3712	2249785
798	3763	2253548
799	3682	2257230
800	7086	2264316
801	3198	2267514
802	3332	2270846
803	3324	2274170
804	4410	2278580
805	3170	2281750
806	4764	2286514
807	3714	2290228
808	3190	2293418
809	3362	2296780
810	4072	2300852
811	3355	2304207
812	3216	2307423
813	3350	2310773
814	3241	2314014
815	6639	2320653
816	3234	2323887
817	3634	2327521
818	3593	2331114
819	3056	2334170
820	3238	2337408
821	3241	2340649
822	10979	2351628
823	3239	2354867
824	3125	2357992
825	3650	2361642
826	8787	2370429
827	3343	2373772
828	3201	2376973
829	3181	2380154
830	3517	2383671
831	3437	2387108
832	4530	2391638
833	4614	2396252
834	4089	2400341
835	3665	2404006
836	4607	2408613
837	3241	2411854
838	3263	2415117
839	2958	2418075
840	3584	2421659
841	3376	2425035
842	3225	2428260
843	3417	2431677
844	3898	2435575
845	3839	2439414
846	3555	2442969
847	3331	2446300
848	3590	2449890
849	3538	2453428
850	3511	2456939
851	3215	2460154
852	3282	2463436
853	3254	2466690
854	3115	2469805
855	3168	2472973
856	4209	2477182
857	3291	2480473
858	3147	2483620
859	3054	2486674
860	3336	2490010
861	3414	2493424
862	3398	2496822
863	3385	2500207
864	3433	2503640
865	3370	2507010
866	3394	2510404
867	3455	2513859
868	4852	2518711
869	3176	2521887
870	3485	2525372
871	3390	2528762
872	3494	2532256
873	3608	2535864
874	3522	2539386
875	3455	2542841
876	3465	2546306
877	3632	2549938
878	3248	2553186
879	3191	2556377
880	3693	2560070
881	5437	2565507
882	3394	2568901
883	3155	2572056
884	3297	2575353
885	3290	2578643
886	3176	2581819
887	3245	2585064
888	3073	2588137
889	3087	2591224
890	3146	2594370
891	3751	2598121
892	3311	2601432
893	3252	2604684
894	3167	2607851
895	3195	2611046
896	3364	2614410
897	3242	2617652
898	3157	2620809
899	3113	2623922
900	3064	2626986
901	3161	2630147
902	3219	2633366
903	3163	2636529
904	3074	2639603
905	3408	2643011
906	3054	2646065
907	3460	2649525
908	3503	2653028
909	3470	2656498
910	3292	2659790
911	3257	2663047
912	3267	2666314
913	3456	2669770
914	3096	2672866
915	3274	2676140
916	3376	2679516
917	3244	2682760
918	3285	2686045
919	3247	2689292
920	3181	2692473
921	3280	2695753
922	3214	2698967
923	3344	2702311
924	3384	2705695
925	3223	2708918
926	3327	2712245
927	3326	2715571
928	3122	2718693
929	3227	2721920
930	3143	2725063
931	3219	2728282
932	3338	2731620
933	3368	2734988
934	2983	2737971
935	3184	2741155
936	3274	2744429
937	3327	2747756
938	3286	2751042
939	3192	2754234
940	3203	2757437
941	3181	2760618
942	3182	2763800
943	3240	2767040
944	3233	2770273
945	3222	2773495
946	3244	2776739
947	4174	2780913
948	3403	2784316
949	3413	2787729
950	3478	2791207
951	3322	2794529
952	3594	2798123
953	3730	2801853
954	3840	2805693
955	3241	2808934
956	4918	2813852
957	3168	2817020
958	3565	2820585
959	3277	2823862
960	3152	2827014
961	3777	2830791
962	3166	2833957
963	3038	2836995
964	3299	2840294
965	3181	2843475
966	3111	2846586
967	4419	2851005
968	3201	2854206
969	3507	2857713
970	3280	2860993
971	2970	2863963
972	2832	2866795
973	3276	2870071
974	3420	2873491
975	3067	2876558
976	3329	2879887
977	3424	2883311
978	3251	2886562
979	3552	2890114
980	3506	2893620
981	3449	2897069
982	3387	2900456
983	3223	2903679
984	3159	2906838
985	3133	2909971
986	3096	2913067
987	3190	2916257
988	3231	2919488
989	3181	2922669
990	3214	2925883
991	3269	2929152
992	2291	2931443
993	3027	2934470
994	3250	2937720
995	3582	2941302
996	3463	2944765
997	4038	2948803
998	3231	2952034
999	3556	2955590
1000	3545	2959135
1001	3211	2962346
1002	3283	2965629
1003	3219	2968848
1004	3259	2972107
1005	3451	2975558
1006	2248	2977806
1007	2202	2980008
1008	3145	2983153
1009	3037	2986190
1010	3073	2989263
1011	2268	2991531
1012	3130	2994661
1013	3163	2997824
1014	3399	3001223
1015	2918	3004141
1016	3019	3007160
1017	3273	3010433
1018	3439	3013872
1019	3042	3016914
1020	3297	3020211
1021	3270	3023481
1022	2997	3026478
1023	3211	3029689
1024	2471	3032160
1025	2248	3034408
1026	2204	3036612
1027	2071	3038683
1028	2907	3041590
1029	2950	3044540
1030	2603	3047143
1031	2677	3049820
1032	3072	3052892
1033	2991	3055883
1034	2701	3058584
1035	2283	3060867
1036	2626	3063493
1037	2929	3066422
1038	2266	3068688
1039	2561	3071249
1040	3190	3074439
1041	3991	3078430
1042	3144	3081574
1043	2136	3083710
1044	2762	3086472
1045	6156	3092628
1046	2193	3094821
1047	8778	3103599
1048	2135	3105734
1049	2086	3107820
1050	2019	3109839
1051	2224	3112063
1052	2244	3114307
1053	2085	3116392
1054	2395	3118787
1055	2512	3121299
1056	2188	3123487
1057	2057	3125544
1058	2051	3127595
1059	2025	3129620
1060	2045	3131665
1061	1991	3133656
1062	1924	3135580
1063	1988	3137568
1064	1947	3139515
1065	2384	3141899
1066	2895	3144794
1067	3722	3148516
1068	3101	3151617
1069	3195	3154812
1070	2658	3157470
1071	3233	3160703
1072	2144	3162847
1073	2060	3164907
1074	2018	3166925
1075	2055	3168980
1076	2013	3170993
1077	2092	3173085
1078	1959	3175044
1079	2240	3177284
1080	2258	3179542
1081	2191	3181733
1082	2179	3183912
1083	2048	3185960
1084	2031	3187991
1085	2003	3189994
1086	1982	3191976
1087	1936	3193912
1088	1966	3195878
1089	1974	3197852
1090	2006	3199858
1091	2207	3202065
1092	1990	3204055
1093	2089	3206144
1094	2119	3208263
1095	2081	3210344
1096	2109	3212453
1097	2115	3214568
1098	2007	3216575
1099	1958	3218533
1100	2075	3220608
1101	1958	3222566
1102	1793	3224359
1103	1922	3226281
1104	1957	3228238
1105	1971	3230209
1106	2097	3232306
1107	2021	3234327
1108	2052	3236379
1109	2046	3238425
1110	2039	3240464
1111	1861	3242325
1112	2017	3244342
1113	1917	3246259
1114	1891	3248150
1115	1886	3250036
1116	1879	3251915
1117	1866	3253781
1118	1940	3255721
1119	2028	3257749
1120	2001	3259750
1121	1942	3261692
1122	1913	3263605
1123	1793	3265398
1124	2016	3267414
1125	1904	3269318
1126	1956	3271274
1127	1912	3273186
1128	1842	3275028
1129	2030	3277058
1130	1940	3278998
1131	1954	3280952
1132	1938	3282890
1133	1872	3284762
1134	1869	3286631
1135	1864	3288495
1136	1984	3290479
1137	1880	3292359
1138	1898	3294257
1139	1962	3296219
1140	3938	3300157
1141	2039	3302196
1142	2075	3304271
1143	2006	3306277
1144	2145	3308422
1145	2046	3310468
